Company,Type,Amount,Permission AD Date,Permission BS Date,
Pashupati Development Bank Ltd,Rights,500,,2067/01/05,
Om Finance Ltd,Rights,105,,2067/01/13,
United Finance Ltd,Rights,165,,2067/01/15,
Siddhartha Bank Ltd,Rights,4.761,,2067/02/14,
Sahayogi Vikas Bank Ltd,Rights,15,,2067/02/17,
Sunrise Bank Ltd,Rights,375,,2067/02/18,
Gorkha Finance Ltd,Rights,69.1423,,2067/02/25,
Subhechha Bikas Bank Ltd.,Rights,52.8,,2067/03/04,
Citizens Bank Internationl Ltd,Rights,1000,,2067/03/07,
Merchant Finance Co. Ltd,Rights,90,,2067/03/09,
Narayani National Finance Ltd,Rights,217.5879,,2067/03/11,
Clean Energy Development Bank Ltd,Rights,768,,2067/03/14,
Infrastructure Development Bank Ltd,Rights,480,,2067/03/16,
Gandaki Bikas Bank Ltd,Rights,100,,2067/03/30,
Kamana Bikas Bank Ltd,Ordinary Shares,70,,2067/06/11,
Country Development Bank Ltd,Ordinary Shares,96,,2067/06/12,
Chilime Hydro Power Co. Ltd.,Ordinary Shares,270.486,,2067/06/15,
Gurans Life Insurance Co. Ltd,Ordinary Shares,108,,2067/06/26,
Professi onal Bikas Bank Ltd,Ordinary Shares,30,,2067/08/02,
Purni ma Bikas Bank Ltd,Ordinary Shares,30,,2067/08/12,
Rara Bikas Bank Ltd,Ordinary Shares,66.033,,2067/08/24,
Multi purpose Finance Co. Ltd,Ordinary Shares,10,,2067/09/13,#VALUE!
Hama Merchant & Finance Ltd,Ordinary Shares,74,,2067/09/18,
Corporate Development Bank Ltd,Ordinary Shares,60,,2067/11/12,
Shangrila Bikas Bank Ltd,Ordinary Shares,96,,2067/12/18,
DCBL Bank Ltd,Ordinary Shares,79.08903,,2068/01/12,
Chilime Hydro Power Co. Ltd.,Ordinary Shares,548.8358,,2068/01/29,
Shine Development Bank Ltd,Ordinary Shares,80,,2068/02/01,
Mukti nath Bikas Bank Ltd,Ordinary Shares,70,,2068/02/02,
Nepal Investment Bank Ltd,Debenture,300,,2068/02/16,
Bhargav Bikas Bank Ltd,Ordinary Shares,40,,2068/03/10,
Shikhar Finance Ltd,Rights,50,,2067/04/31,
Roy al Merchant Banking & Finance Ltd,Rights,147.8093,,2067/04/31,
Nirdhan Utthan Bank Ltd,Rights,55,,2067/05/13,
Kumari Bank Ltd,Rights,178.2,,2067/05/30,
Prabhu Finance Ltd,Rights,120,,2067/06/04,
Sanima Bikas Bank Ltd,Rights,1209.6,,2067/06/10,
Prime Commercial Bank Ltd,Rights,1100,,2067/06/13,
Reliable Finance Ltd,Rights,99,,2067/06/14,
Miteri Development Bank Ltd,Rights,45.144,,2067/06/19,
Mahakali Bikas Bank Ltd,Rights,20,,2067/07/09,
Kathmandu Finance Ltd,Rights,30.36,,2067/08/07,
Butwal Finace Ltd,Rights,117.2644,,2067/08/17,
Lord Buddha Finance Ltd,Rights,37.5,,2067/08/28,
General Finance Ltd,Rights,48.4836,,2067/09/11,
Swabalamban Laghubitta Bikas Bank Ltd,Rights,48.8841,,2067/09/16,
Api Finance Ltd,Rights,60,,2067/09/26,
Chhimek Laghubitta Bikas Bank Ltd,Rights,31.5049,,2067/10/24,
Bank of Asia Nepal Ltd,Rights,5,,2067/10/27,
Kaski Finance Ltd,Rights,60,,2067/11/11,
Ev erest Finance Ltd,Rights,60,,2067/11/12,
Pathibhara Bikas Bank Ltd,Rights,50,,2067/11/20,
Biratlaxmi Bikas Bank Ltd,Rights,90.75,,2067/11/25,
Sunrise Bank Limited,Rights,390,,2067/12/01,
Kasthamandap Development Bank Ltd,Rights,320,,2067/12/14,
Deprosc Laghubitta Bikas Bank Ltd,Rights,63.6849,,2067/12/15,
Nepal Express Finance Ltd,Rights,15.6,,2068/01/04,
NMB Bank Ltd,Rights,348.35,,2068/01/07,
Zenith Finance Ltd,Rights,105,,2068/01/14,
Resunga Bikas Bank Ltd,Rights,30.6,,2068/02/05,
Bhajuratna Finance & Sav ing Co. Ltd,Rights,61.6,,2068/02/12,
N.B. Insurance Company Ltd,Rights,50,,2068/02/23,
Bagmati Development Bank Ltd,Share,23.5,,2068/09/14,
Nepal SBI Bank Ltd,Debenture,400,,2068/09/14,
Manjushree Financial Institution Ltd,Share,60,,2068/09/18,
First Micro Finance Dev. Bank Ltd,Share,30,,2068/11/30,
Nepal Consumer Dev. Bank Ltd,Share,60,,2068/12/01,
Summit Micro Finance Dev. Bank Ltd,Share,7.5,,2068/12/10,
Siddhartha Bank Ltd,Debenture,400,,2068/12/16,
Janata Bank Nepal Ltd,Share,600,,2068/12/23,
Metro Development Bank Ltd,Share,30,,2069/01/07,
Kanchan Development Bank Ltd,Share,30,,2069/01/14,
Gulmi Bikas Bank Ltd,Share,7.5,,2069/01/15,
Tourism Development Bank Ltd,Share,240,,2069/01/18,
Pacific Development Bank Ltd,Share,21,,2069/01/27,
Lotus Investment Finance Ltd,Share,80,,2069/01/28,
Rising Development Bank Ltd,Share,60,,2069/02/14,
Global Bank Ltd,Debenture,400,,2069/03/06,
Paschimanchal Garmin Bikas Bank Ltd,Share,34,,2069/03/11,
Khandbari Development Bank Ltd,Share,15,,2069/03/18,
Unique Finance Ltd,Rights,100,,2068/04/13,
Patan Finance Ltd,Rights,33,,2068/04/19,
Triveni Bikas Bank Ltd,Rights,67.85,,2068/09/20,
Kankai Bikas Bank Ltd,Rights,60,,2069/01/13,
Navadurga Finance Company Ltd,Rights,25.32642,,2069/02/10,
Bageshwori Development Bank Ltd,Rights,148.5,,2069/02/11,
Nepal Express Finance Ltd,Rights,17,,2069/03/24,
Bright Development Bank Ltd,Ordinary Share,42,,2069/4/5,
Kankrebihar Bikas Bank Ltd,Ordinary Share,12,,2069/5/14,
Innovative Development Bank Ltd,Ordinary Share,33.75,,2069/05/17,
Reliance Finance Ltd,Ordinary Share,60,,2069/05/20,
International Development Bank Ltd,Ordinary Share,192,,2069/05/24,
Civic Development Bank Ltd,Ordinary Share,12,,2069/06/14,
Civil Bank Ltd,Ordinary Share,800,,2069/08/07,
Nepal SBI Bank Ltd,Debenture,400,,2069/09/04,
Laxmi Capital Ltd,Debenture,400,,2069/09/20,
Agriculture Development Bank Ltd,Ordinary Share,0,,2069/09/19,
Swarojgar Laghu Bitta Bikas Bank Ltd,Ordinary Share,4.71,,2069/10/07,
Jebills Finance Ltd,Ordinary Share,98,,2069/10/11,
Commerz & Trust Bank Nepal Ltd,Ordinary Share,600,,2069/10/15,
NLG Insurance Company Ltd,Ordinary Share,67.5,,2069/12/01,
Siddharth Bank Ltd,Debenture,400,,2069/12/05,
Sindhu Bikas Bank Ltd,Ordinary Share,49,,2069/12/05,
Jhimruk Bikas Bank Ltd,Ordinary Share,16,,2069/12/26,
Bank of Kathmandu Ltd,Debenture,400,,2069/12/23,
Everest Bank Ltd,Debenture,700,,2070/01/03,
Sanima Mai Hydro Power Ltd (For Local People),Ordinary Share,105.5,,2069/12/27,
Nepal Investment Bank Ltd,Debenture,500,,2070/01/30,
Namaste Bittiya Sanstha Ltd,Ordinary Share,10,,2070/01/30,
Gaumukhi Bikas Bank Ltd,Ordinary Share,12,,2070/01/31,
Mega Bank Nepal Ltd,Ordinary Share,699,,2070/02/02,
Mission Development Bank Ltd,Ordinary Share,30,,2070/02/03,
Sana Kisan Bikas Bank Ltd,Ordinary Share,60,,2070/03/05,
Himalaya Bank Ltd,Debenture,750,,2070/03/05,
Hamro Bikas Bank Ltd,Ordinary Share,18.03,,2070/03/05,
Rular Microfinance Development Center Ltd,Ordinary Share,156,,2070/03/12,
Manaslu Bikas Bank Ltd,Ordinary Share,36,,2070/03/25,
Sewa Bikas Bank Ltd,Rights,92,,2069/10/28,
Shrijana Finance Ltd,Rights,56,,2069/12/06,
Nepal Bank Ltd,Rights,3619.617,,2070/01/08,
Gandaki Bikas Bank Ltd,Rights,70,,2070/02/29,
Life Insurance Coporation (Nepal) Ltd,Rights,101.25,,2070/03/27,
Swabalamban Laghubitta Bikas Bank Ltd,Bonus,0.2641,,2069/04/03,
Swabalamban Laghubitta Bikas Bank Ltd,Bonus,5.7872,,2069/04/03,
Prudential Finace Ltd,Bonus,29.3244,,2069/04/03,
Triveni Bikas Bank Ltd,Bonus,23.069,,2069/04/21,
Neco Insurance Ltd,Bonus,5.775,,2069/05/20,
Sagarmatha Merchant Banking & Fin Ltd,Bonus,27.5,,2069/05/22,
Yeti Finace Ltd,Bonus,19.32,,2069/05/24,
Fewa Finance Ltd,Bonus,27.3,,2069/05/25,
Salt Trading Corporation Ltd,Bonus,13.8631,,2069/05/26,
Asain Life Insurance Company Ltd,Bonus,97.9618,,2069/05/26,
Subhechha Bikas Bank Ltd,Bonus,10.6775,,2069/06/01,
Sagarmatha Insurance Co. Ltd,Bonus,27.54,,2069/06/04,
Sagarmatha Insurance Co. Ltd,Bonus,27.057,,2069/06/04,
Kathmandu Finance Ltd,Bonus,16.6011,,2069/06/16,
National Life Insurance Company Ltd,Bonus,92.5545,,2069/06/16,
Nepal Insurance Company Ltd,Bonus,7.1387,,2069/06/21,
Bank Of Kathmandu Ltd,Bonus,80.2094,,2069/08/10,
Nerude Laghubitta Bikas Bank Ltd,Bonus,16,,2069/08/26,
Api Finance Ltd,Bonus,6,,2069/08/26,
Biratlaxmi Bikas Bank Ltd,Bonus,8.2387,,2069/09/05,
Paschimancha Finance Ltd,Bonus,17.8517,,2069/9/11,
Manjushree Finance Ltd,Bonus,25,,2069/09/11,
Nabil Bank Ltd,Bonus,407.072,,2069/09/11,
Lumbini General Insurance Company Ltd,Bonus,15.625,,2069/09/11,
Siddharth Finance Ltd,Bonus,23.5564,,2069/09/20,
Navdurga Finance Company Ltd,Bonus,13.9944,,2069/10/03,
Citizen Investment Trust Ltd,Bonus,56,,2069/10/03,
Soaltee Hotel Ltd,Bonus,35.81861,,2069/10/04,
Chilime Hydropower Company Ltd,Bonus,403.792,,2069/10/09,
Garima Bikas Bank Ltd,Bonus,20,,2069/10/10,
Prabhu Finance Ltd,Bonus,79.764,,2069/10/12,
Sewa Bikas Bank Ltd,Bonus,23,,2069/10/23,
Nilgiri Bikas Bank L5d,Bonus,7.314,,2069/10/25,
Nepal SBI Bank Ltd,Bonus,261.7906,,2069/10/28,
Imperial Finance Ltd,Bonus,11.73,,2069/11/03,
Everest Bank Ltd,Bonus,369.4907,,2069/11/17,
Reliable Fianance Ltd,Bonus,20.5396,,2069/12/06,
Standard Chartered Bank Nepal Ltd,Bonus,243.732,,2069/12/14,
Life Insurance Corporation (Nepal) Ltd,Bonus,155,,2069/12/14,
Guheshwori Merchant Banking and Finance Ltd,Bonus,23.6628,,2069/12/15,
Triveni Bikas Bank Ltd,Bonus,21.7745,,2069/12/15,
Nerude Laghubitta Bikas Bank Ltd,Bonus,8.4,,2069/12/19,
Metro Development Bank Ltd,Bonus,6,,2069/12/19,
Bhrikuti Development Bank Ltd,Bonus,41.8484,,2069/12/19,
Prime Commercial Bank Ltd,Bonus,94.6593,,2069/12/21,
Metiri Development Bank Ltd,Bonus,18.0576,,2069/12/26,
Arun Valley Hydropower Ltd,Bonus,39.7704,,2069/12/27,
Nepal Investment Bank Ltd,Bonus,755.0835,,2070/01/04,
Gandaki Bikas Bank Ltd,Bonus,30,,2070/01/05,
Lumbini Bank Ltd,Bonus,171.6,,2070/01/05,
Muktinath Bikas Bank Ltd,Bonus,45,,2070/01/05,
Nepal Insurance Company Ltd,Bonus,21.9248,,2070/01/19,
Lumbini Finance and Leasing Company Ltd,Bonus,26.8636,,2070/01/29,
Global IME Bank Ltd,Bonus,67.7445,,2070/01/31,
Kabeli Bikas Bank Ltd,Bonus,2,,2070/02/01,
Surya Life Insurance Company Ltd,Bonus,51.3,,2070/02/05,
Biratlaxmi Bikas Bank Ltd,Bonus,20.8247,,2070/02/07,
Nepal Express Finance Ltd,Bonus,21.8696,,2070/02/09,
Tinau Bikas Bank Ltd,Bonus,15,,2070/02/12,
Yeti Finace Ltd,Bonus,21.6384,,2070/02/14,
Prime Life Insurance Company Ltd,Bonus,56.16,,2070/02/14,
Asian Life Insurance Company Ltd,Bonus,39.1666,,2070/02/20,
National Life Insurance Company Ltd,Bonus,100.2674,,2070/2/29,
Excel Development Bank Ltd,Bonus,20,,2070/2/30,
Navdurga Finance Company Ltd,Bonus,13.8227,,2070/03/04,
Seti Finance Ltd,Bonus,4,,2070/03/07,
Siddharth Insurance Ltd,Bonus,32,,2070/03/09,
NMB Sulav Investment Fund,Units,750,,2071/05/20,
Global IME BanK Ltd,Ordinary,34.9594,,2071/06/03,
NIBL Sambridhi Fund-1,Units,1000,,2071/07/30,
Nepal Bank Ltd,Ordinary,2499.4782,,2071/08/09,
NMB Bank Ltd,Debenture,500,,2071/09/03,
Siddharth Bank Ltd,Debenture,500,,2071/09/04,
Upper Tamakoshi Hydro Ltd,Ordinary,3600.6,,2071/09/17,
Rapti Bheri Bikas Bank Ltd,Ordinary,50.0054,,2071/09/18,
Api Power Company Ltd,Ordinary,100,,2071/09/30,
Api Power Company Ltd,Ordinary,300,,2072/03/11,
Laxmi Value Fund,Units,500,,2071/10/09,
Janauthhan Samudaik Laghu Bitta Bikas Bank Ltd,Ordinary,9,,2071/10/18,
Barun Hydropower Compnay Ltd,Ordinary,48.6,,2071/10/25,
Mirmire Microfinance Dev Bank Ltd,Ordinary,6,,2071/11/11,
ILFCO Micro Finance Bittiya Sanstha Ltd,Ordinary,40,,2071/11/25,
Bhaktapur Fiance Ltd,Ordinary,75,,2071/11/27,
Bijaya Laghubitta Bittiya Sanstha Ltd,Ordinary,42,,2071/11/28,
Sajha Bikas Bank Ltd,Ordinary,49,,2072/02/03,
Saptakoshi Development Bank Ltd,Ordinary,40,,2072/02/03,
Sanima Bank Ltd,Debenture,700,,2072/02/04,
Bank of Kathmandu Ltd,Debenture,600,,2072/02/06,
Kisan Micro Finance Bittiya Sanstha Ltd,Ordinary,8,,2072/02/14,
Clean Village Microfinance Bittya Sanstha Ltd,Ordinary,12,,2072/02/20,
Mahila Sahayatra Microfinance Bittya Sanstha Ltd,Ordinary,33,,2072/02/21,
Reliable Microfinance Bittya Sanstha Ltd,Ordinary,15,,2072/02/31,
Womi Microfinance Bittya Sanstha Ltd,Ordinary,14.7,,2072/03/03,
Everest Bank Ltd,Debenture,600,,2072/03/11,
Tinau Bikas Bank Ltd,Rights,32.2,,2070/04/01,
Hamro Bikas Bank Ltd,Rights,42.07,,2071/05/30,
City Development Bank Ltd,Rights,92.4,,2071/06/03,
Sewa Bikas Bank Ltd,Rights,51.52,,2071/06/30,
Muktinath Bikas Bank Ltd,Rights,91.88,,2071/07/09,
Sahayogi Bikas Bank Ltd,Rights,21.43,,2071/09/02,
Manaslu Bikas Bank Ltd,Rights,30,,2071/09/06,
First Microfinance Ltd,Rights,100,,2071/10/18,
Garima Bikas Bank Ltd,Rights,112.2,,2071/10/20,
Neco Insurance Ltd,Rights,114.78,,2071/10/20,
Sunrise Bank ltd,Rights,223.67,,2071/10/21,
Kabeli Bikas Bank Ltd,Rights,17.2,,2071/11/13,
Nilgiri Bikas Bank Ltd,Rights,30,,2071/11/13,
Premire Insurance Company (Nepal)Ltd,Rights,134.9,,2071/11/17,
Progressive Finance Ltd,Rights,90,,2072/03/01,
United Insurance Company (Nepal) Ltd,Rights,151.2,,2071/12/03,
Purnima Bikas Bank Ltd,Rights,27.5,,2071/12/05,
Laxmi Bank Ltd,Rights,701.36,,2072/01/08,
Chhimek Laghubitta Bikas Bank Ltd,Rights,141.84,,2072/02/11,
Sworojgaar Laghubitta Bikas Bank Ltd,Rights,20,,2072/02/18,
Prudenceal Insurance Co. Ltd,Rights,54,,2072/03/01,
Metro Development Bank Ltd,Rights,27.85,,2072/03/13,
Triveni Bikas Bank Ltd,Bonus,47.19,,2071/04/04,
Bishwo Bikas Bank Ltd,Bonus,45.36,,2071/04/08,
Laxmi Bank Ltd,Bonus,254.22,,2071/04/09,
Sunrise Bank Ltd,Bonus,221.65,,2071/04/18,
Kabeli Bikas Bank Ltd,Bonus,4.4,,2071/04/23,
Shikhar Insurance Company Ltd,Bonus,35.27,,2071/05/05,
Prudential Insurance Company Ltd,Bonus,20,,2071/05/06,
Pathivara Bikas Bank Ltd,Bonus,15,,2071/05/06,
National Life Insurance Company Ltd,Bonus,275.74,,2071/05/22,
Sagarmatha Insurance Company Ltd,Bonus,51.67,,2071/05/30,
Nepal Life Insurance Compnay Ltd,Bonus,446.25,,2071/05/26,
Malika Bikas Bank Ltd,Bonus,22.05,,2071/06/02,
Lumbini General Insurance Compnay Ltd,Bonus,15.34,,2071/06/01,
Paschimancha Fianance Ltd,Bonus,35.35,,2071/06/12,
Kamana Bikas Bank Ltd,Bonus,30,,2071/08/09,
Kankre Bihar Bikas Bank Ltd,Bonus,4.5,,2071/08/09,
Mahakali Bikas Bank Ltd,Bonus,7.2,,2071/08/22,
Gandaki Bikas Bank Ltd,Bonus,32,,2071/08/23,
Nepal Bangladesh Bank Ltd,Bonus,200.94,,2071/08/23,
Lumbini Fianance & Leasing Co. Ltd,Bonus,44.26,,2071/08/28,
Citizens Bank Internationa Ltd,Bonus,277.7,,2071/08/28,
Sanima Bank Ltd,Bonus,332.27,,2071/09/06,
Central Fiance Ltd,Bonus,17.02,,2071/09/07,
Sagarmatha Finance Ltd,Bonus,69.82,,2071/09/14,
Arun Valley Hydropower Compnay Ltd,Bonus,69.6,,2071/09/16,
Garima Bikas Bank Ltd,Bonus,74.8,,2071/09/28,
Bhrikuti Bikas Bank Ltd,Bonus,97.47,,2071/10/04,
Business Universal Development Bank Ltd,Bonus,92.63,,2071/10/08,
Global IME Bank Ltd,Bonus,869.78,,2071/10/08,
Kaski Finance Ltd,Bonus,42.84,,2071/10/11,
Jyoti Bikas Bank Ltd,Bonus,51.8,,2071/10/12,
Nilgiri Bikas Bank Ltd,Bonus,0.19,,2071/10/18,
Nilgiri Bikas Bank Ltd,Bonus,20,,2071/10/18,
Nepal Investment Bank Ltd,Bonus,624.5,,2071/10/18,
Chilime Hydropower Company Ltd,Bonus,454.27,,2071/10/20,
Chhimek Laghubitta Bikas Bank Ltd,Bonus,73.59,,2071/10/22,
Soaltee Hotel Ltd,Bonus,"1,203.47",,2071/10/22,
Kasthamandap Development Bank Ltd,Bonus,26.08,,2071/10/27,
Citizen Investment Trust,Bonus,150,,2071/11/06,
Nepal Express Finance Ltd,Bonus,67.01,,2071/11/08,
Pacific Development Bank Ltd,Bonus,14.64,,2071/11/12,
Kumari Bank Ltd,Bonus,603.26,,2071/11/20,
Mithila Laghu Bitta Bikas Bank Ltd,Bonus,4.72,,2071/11/25,
Standard Chartered Bank Nepal Ltd,Bonus,206.49,,2071/11/25,
NLG Insurance Company Ltd,Bonus,44.55,,2071/11/25,
Laxmi Bank Ltd,Bonus,389.56,,2071/11/27,
Supreme Development Bank Ltd,Bonus,39.62,,2071/11/28,
Tinau Bikas Bank Ltd,Bonus,24.15,,2071/11/28,
Lumbini Bank Ltd,Bonus,113.25,,2071/12/02,
Himalayan Bank Ltd,Bonus,434.7,,2071/12/02,
Civil Bank Ltd,Bonus,188.92,,2071/12/03,
City Development Bank Ltd,Bonus,67.76,,2071/12/03,
Unique Finance Ltd,Bonus,23,,2071/12/10,
Muktinath Bikas Bank Ltd,Bonus,139.65,,2071/12/10,
Swablamban Bikas Bank Ltd,Bonus,69.98,,2071/12/11,
Shine Resunga Bikas Bank Ltd,Bonus,57.58,,2071/12/11,
Bank Of Kathmandu Ltd,Bonus,200,,2071/12/13,
Goodwill Finance Ltd,Bonus,19.5,,2071/12/13,
Shikhar Insurance Company Ltd,Bonus,59.92,,2071/12/13,
Alpine Development Bank Ltd,Bonus,18,,2071/12/13,
Shree Investment and Finance Ltd,Bonus,21.12,,2071/12/16,
Innovative Development Bank Ltd,Bonus,18.75,,2071/12/16,
Narayani National Finance Ltd,Bonus,32.37,,2071/12/17,
Kanchan Development Bank Ltd,Bonus,22,,2071/12/18,
Nepal AwasFinace Ltd,Bonus,11.29,,2071/12/18,
Nabil Bank Ltd,Bonus,610.49,,2071/12/18,
Western Development Bank Ltd,Bonus,9,,2071/12/18,
Clean Energy Development Bank Ltd,Bonus,114.54,,2071/12/20,
Siddharth Bank Ltd,Bonus,"1,849.83",,2071/12/20,
Guheshwori Merchant Banking & Finance Ltd,Bonus,49.04,,2071/01/03,
Nepal Bangladesh Bank Ltd,Bonus,221.03,,2072/01/03,
NIC Asia Bank Ltd,Bonus,346.73,,2072/01/03,
Metro Development Bank Ltd,Bonus,25.61,,2072/01/06,
Subhechha Bikas Bank Ltd,Bonus,19.06,,2072/01/07,
Nagbeli Bikas Bank Ltd,Bonus,5.7,,2072/01/07,
Everest Bank Ltd,Bonus,216.15,,2072/01/10,
Mega Bank Nepal Ltd,Bonus,279.6,,2072/01/10,
Kathmandu Finance Ltd,Bonus,13.72,,2072/02/03,
Prime Commercial Bank Ltd,Bonus,501.35,,2072/02/03,
Sewa Bikas Bank Ltd,Bonus,51.52,,2072/02/04,
Mission Development Bank Ltd,Bonus,15,,2072/02/04,
Swarojgar Laghubitta Bikas Bank Ltd,Bonus,4.3,,2072/02/04,
Gaumukhi Bikas Bank Ltd,Bonus,3.33,,2072/02/04,
Om Finance Ltd,Bonus,63.51,,2072/02/05,
Machhapuchchhre Bank Ltd,Bonus,297.46,,2072/02/05,
Triveni Bikas Bank Ltd,Bonus,37.33,,2072/02/06,
Bright Development Bank Ltd,Bonus,28,,2072/02/07,
Mega Bank Nepal Ltd,Bonus,279.6,,2072/02/10,
Janaki Finance Ltd,Bonus,102.38,,2072/02/10,
Kailash Bikas Bank Ltd,Bonus,116.95,,2072/02/10,
Ridi Hydropower Development Co.Ltd,Bonus,30,,2072/02/10,
Shindu Bikas Bank Ltd,Bonus,7.5,,2072/02/10,
Sirjana Finance Ltd,Bonus,50.4,,2072/02/11,
United Finance Ltd,Bonus,52.46,,2072/02/14,
Diprox Laghubitt Bikas Bank Ltd,Bonus,44.58,,2072/02/14,
Life Insurance Corporation (Nepal) Limited,Bonus,197.44,,2072/02/19,
ICFC Finance Ltd,Bonus,52.58,,2072/02/19,
Paschimancha Fianance Ltd,Bonus,32.52,,2072/02/26,
Fewa Finance Ltd,Bonus,66.07,,2072/02/32,
Miteri Development Bank,Bonus,32.5,,2072/02/32,
Nerude Laghubitta Bikash Bank Ltd,Bonus,25,,2072/03/03,
Pokhara Finance,Bonus,18.72,,2072/03/08,
Relaible Development Bank,Bonus,34.14,,2072/03/08,
NMB Bank Ltd,Bonus,400,,2072/03/08,
Matribhumi Bikas Bank,Bonus,4.4,,2072/03/08,
Shangrila Development Bank,Bonus,96,,2072/03/09,
Rural Maicro Finance Development Center,Bonus,52,,2072/03/14,
Janaral Finance Ltd,Bonus,35.26,,2072/03/14,
Biratlaxmi Bikas Bank Ltd,Bonus,105.61,,2072/03/16,
Lumbini General Insurance Compnay Ltd,Bonus,26.53,,2072/03/21,
Prabhu Insurence Co.Ltd,Bonus,21.92,,2072/03/21,
Manaslu Bikas Bank,Bonus,11.7,,2072/03/21,
Himalayan General Insurance Co. Ltd,Bonus,17.5,,2072/03/28,
Nepal SBI Bank Ltd,Bonus,398.58,,2072/03/30,
Hydroelectricity Investment & Development Company Ltd.,Ordinary,"10,000",,2072/05/28,
Ngadi Groups Power Ltd.,Ordinary,487,,2072/07/13,
Khanikhola Hydropower Co. Ltd.,Ordinary,373,,2072/07/13,
Shikhar Insurance Co. Ltd,Ordinary,332,,2072/08/04,
Reliance Lotus Finance Ltd,Ordinary,51,,2072/08/06,
Mero Microfinance Bittya Sanstha Ltd,Ordinary,200,,2072/09/28,
Nepal Investment Bank Ltd,Ordinary,"5,451",,2072/10/24,
Dibyashwari Hydropower Ltd,Ordinary,264,,2072/11/16,
Ngadi Groups Power Ltd,Ordinary,,,2072/11/18,
Arun Kabeli Power Ltd,Ordinary,"1,200",,2073/01/22,
Green Development Bank Ltd,Ordinary,100,,2073/01/26,
Khani Khola Hydropower Co.Ltd,Ordinary,93,,2073/01/29,
National Microfinance Bittiya Sanstha Ltd,Ordinary,100,,2073/02/24,
Dibyashwari Hydropower Ltd,Ordinary,40,,2073/02/32,
Suryodaya Laghubitta Bittiya Sanstha Ltd,Ordinary,40,,2073/03/14,
RSDC Laghubitta Bittiya Sanstha Ltd,Ordinary,100,,2073/03/17,
Synergy Power Development Ltd.,Ordinary,490,,2073/03/28,
Nagbeli Laghubitta Bikas Bank Ltd,Rights,5,,2072/04/01,
Machhapuchchhre Bank Ltd,Rights,555.25,,2072/04/18,
Gaumukhee Bikas Bank Ltd,Rights,16.85,,2072/04/19,
Mission Development Bank Ltd,Rights,57.5,,2072/05/22,
Kakrebihar Bikas Bank Ltd,Rights,17.25,,2072/05/25,
Century Commercial Bank Ltd,Rights,530,,2072/06/11,
Kathmandu Finance Ltd,Rights,183.78,,2072/06/13,
ICFC Finance Ltd,Rights,213.48,,2072/06/13,
Sanakisan Bikas Bank Ltd,Rights,115.34,,2072/06/29,
Kanchan Development Bak Ltd,Rights,33,,2072/07/17,
Excel Development Bank Ltd,Rights,52.5,,2072/08/15,
Innovative Development Bank Ltd,Rights,100,,2072/08/23,
Sunrise Bank Ltd,Rights,369.05,,2072/09/03,
Gandaki Bikas Bank Ltd,Rights,105.6,,2072/09/09,
Prabhu Bank Ltd,Rights,641.78,,2072/09/19,
Shubhechha Bikas Bank,Rights,50.09,,2072/09/21,
Srijana Finance Ltd,Rights,67.2,,2072/09/28,
Shangri-la Development Bank Ltd,Rights,184,,2072/09/28,
Tinau Bikas Bank Ltd,Rights,54.62,,2072/10/25,
Jhimruk Bikas Bank Ltd,Rights,4.85,,2072/11/10,
Karnali Development Bank,Rights,40,,2072/12/01,
Nepal Community Development Bank Ltd,Rights,100,,2073/01/07,
NIC ASIA Bank Ltd,Rights,923.75,,2073/01/22,
Ridhi Hydropower Development Co. Ltd,Rights,115.5,,2073/02/03,
Sanima Bank Ltd,Rights,1530.14,,2073/02/16,
Citizen Bank International Ltd,Rights,1685.88,,2073/02/16,
Sindhu Bikas Bank Ltd,Rights,120.94,,2073/02/27,
Cosmos Development Bank Ltd,Rights,50.31,,2073/03/07,
Alpine Development Bank Ltd,Rights,82,,2073/03/08,
Surya Life Insurance Co. Ltd,Rights,125,,2073/03/08,
United Finance Ltd,Rights,115.98,,2073/03/08,
Mithila Laghubitta Bikas Bank Ltd,Rights,16.97,,2073/03/21,
Manaslu Bikas Bank Ltd,Rights,91.76,,2073/03/22,
NB Insurance Ltd.,Rights,120,,2073/03/28,
Womi Microfinance Ltd.,Rights,18,,2073/03/27,
Purnima Bikash Bank Ltd.,Rights,100.85,,2073/03/29,
Mega Bank Nepal Ltd,Rights,810.14,,2073/03/31,
Century Commercial Bank Ltd.,Bonus,120,,2072/04/01,
Summit Micro Finance Development Bank Ltd.,Bonus,7.28,,2072/04/01,
Oriental Hotels Ltd.,Bonus,50,,2072/04/01,
Jebil's Finance Ltd.,Bonus,20,,2072/04/15,
Salt Trading Corporation Ltd.,Bonus,6.5,,2072/04/15,
Tourism Development Bank Ltd.,Bonus,38.4,,2072/04/15,
Professional Diyalo Bikas Bank Ltd.,Bonus,20,,2072/04/15,
Pathibhara Bikas Bank Ltd.,Bonus,26.45,,2072/04/29,
Sahayogi Bikas Bank Ltd.,Bonus,37.15,,2072/04/29,
Krishi Bikas Bank Ltd.,Bonus,231,,2072/04/29,
National Life Insurance Co. Ltd.,Bonus,235.18,,2072/04/29,
Kabeli Bikas Bank Ltd.,Bonus,6.88,,2072/04/32,
Multipurpose Finance Co.Ltd.,Bonus,3.75,,2072/04/32,
Asian Life Insurance Co.Ltd.,Bonus,148.57,,2072/04/32,
Nepal Credit & Commerce Bank Ltd.,Bonus,558.6,,2072/05/08,
